State,SL_NO,PC_No,PC_Name,Electors_Total,Voters_Male,Voters_Female,Voters_TG,Voters_Total,Voters_NRI,Postal_Votes,Total_Voters,Turnout_Percent,Turnout_Male,Turnout_Female,Turnout_TG
Andaman & Nicobar Islands,1.,1,Andaman & Nicobar Islands,318471,109407,97671,2,207080,0,318,207398,65.12,64.63,65.47,22.22
Andhra Pradesh,2.,1,Aruku,1451418,523085,544258,19,1067362,0,10873,1078235,74.29,73.71,73.39,20.21
Andhra Pradesh,3.,2,Srikakulam,1553860,548060,594937,14,1143011,0,21275,1164286,74.93,70.08,77.11,6.7
Andhra Pradesh,4.,3,Vizianagaram,1503980,603059,605843,7,1208909,0,13524,1222433,81.28,79.98,80.8,5.69
Andhra Pradesh,5.,4,Visakhapatnam,1829300,608306,624713,7,1233026,0,6895,1239921,67.78,66.26,68.57,6.03
Andhra Pradesh,6.,5,Anakapalli,1521363,606111,626764,6,1232881,0,7575,1240456,81.54,80.79,81.29,9.09
Andhra Pradesh,7.,6,Kakinada,1563930,616003,611330,66,1227399,0,9415,1236814,79.08,79.38,77.61,29.33
Andhra Pradesh,8.,7,Amalapuram,1459556,617210,607337,0,1224547,0,10821,1235368,84.64,84.62,83.18,0
Andhra Pradesh,9.,8,Rajahmundry,1534256,617706,626974,8,1244688,0,5800,1250488,81.5,81.92,80.37,6.56
Andhra Pradesh,10.,9,Narsapuram,1439691,580912,587960,35,1168907,5,10255,1179162,81.9,81.94,80.48,22.88
Andhra Pradesh,11.,10,Eluru,1594950,659879,662137,32,1322048,0,10162,1332210,83.53,84,81.82,24.24
Andhra Pradesh,12.,11,Machilipatnam,1473347,609214,626244,14,1235472,0,10080,1245552,84.54,84.43,83.31,13.86
Andhra Pradesh,13.,12,Vijayawada,1652994,632378,640718,36,1273132,0,4643,1277775,77.3,77.57,76.49,20.69
Andhra Pradesh,14.,13,Guntur,1706119,659306,686873,31,1346210,0,5317,1351527,79.22,79.43,78.43,14.55
Andhra Pradesh,15.,14,Narasaraopet,1670391,707594,721882,49,1429525,0,11207,1440732,86.25,86.15,85.04,23.79
Andhra Pradesh,16.,15,Bapatla,1468671,618167,636396,7,1254570,0,15428,1269998,86.47,85.54,85.32,8.24
Andhra Pradesh,17.,16,Ongole,1556469,663664,659603,29,1323296,0,20707,1344003,86.35,84.95,85.1,33.33
Andhra Pradesh,18.,17,Nandyal,1603220,639159,649242,75,1288476,0,11309,1299785,81.07,80.67,80.09,22.46
Andhra Pradesh,19.,18,Kurnool,1573009,596807,585326,24,1182157,0,8515,1190672,75.69,75.86,74.46,12.06
Andhra Pradesh,20.,19,Anantapur,1664160,672882,661447,46,1334375,0,13739,1348114,81.01,80.82,79.56,25.27
